case_id,pair_id,source_type,source_name,channel_id,condition_eligible,candidate_time,window_start,window_end,signal_key,hidden_reference_status,hidden_case_category,hidden_disagreement_type,hidden_expected_recommendation,reference_interval_start,reference_interval_end,peak_height,prominence,local_noise,detectability,weber_boundary,weber_margin,stability,stability_runs,stability_hits,parameter_robustness,parameter_runs,parameter_hits,width_samples,nearest_distance_samples,separation_width_ratio,overlap_flag,duplicate_risk,baseline_drift_score,segment_boundary_distance,evidence_agreement,algorithmic_recommendation,provenance_json,explanation_trial_eligible,pilot_ready
REAL-011,REA-PAIR-04,real,chromatograms.h5,1601,baseline|peakaboo|peakaboo_recommendation,5.0883331298828125,4.788333415985107,5.388333320617676,REAL-011,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference,Reject,5.07833333333333,5.13,0.12522849440574646,0.000378195196390152,0.0007118761444532252,0.53126544386365,15.96,-15.428734556136352,0.8333333333333334,30,25,0.25,20,5,5.550188364242132,43.0,7.747484801963396,False,Low,0.3882343007033383,180,Conflict detected,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 3053, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-012,REA-PAIR-05,real,chromatograms.h5,1680,baseline|peakaboo|peakaboo_recommendation,4.388333320617676,4.0883331298828125,4.688333511352539,REAL-012,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference,Reject,4.375,4.40166666666667,0.05217774957418442,0.00018079951405525208,0.00032846553773219965,0.5504367817491479,15.96,-15.409563218250852,0.9333333333333333,30,28,0.25,20,5,9.02324277681197,26.0,2.881447462193425,False,Low,0.20381533631268922,180,Conflict detected,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 2633, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-013,REA-PAIR-11,real,chromatograms.h5,3273,baseline|peakaboo|peakaboo_recommendation,9.108333587646484,8.808333396911621,9.408333778381348,REAL-013,unsupported,stable_unsupported,favorable_algorithm_vs_unsupported_reference,Accept,,,-0.09291690215468407,0.0051068998873233795,6.613608378612171e-06,772.1804532089002,15.96,756.2204532089002,1.0,30,30,1.0,20,20,157.59081211861945,inf,inf,False,Low,0.014443476475855558,180,Consistent,Accept,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 5465, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-014,REA-PAIR-10,real,chromatograms.h5,2190,baseline|peakaboo|peakaboo_recommendation,0.12333333492279053,0.0,0.4233333468437195,REAL-014,unsupported,stable_unsupported,none,Reject,,,-0.0005525500164367259,0.00030239997431635857,4.156647393207228e-06,72.75091509075892,15.96,56.79091509075892,0.9666666666666667,30,29,1.0,20,20,149.3796297441046,61.0,0.40835554422310666,True,High,0.2443975149045404,74,Mostly consistent,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 74, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-015,REA-PAIR-09,real,chromatograms.h5,1385,baseline|peakaboo|peakaboo_recommendation,0.6200000047683716,0.3199999928474426,0.9200000166893005,REAL-015,unsupported,stable_unsupported,none,Defer,,,0.0013863499625585973,0.0004213499487377703,6.800243434264421e-06,61.96100049208709,15.96,46.00100049208709,1.0,30,30,1.0,20,20,59.112972077072556,64.0,1.0826726816671584,True,Moderate,0.1098651993264942,180,Mostly consistent,Defer,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 372, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-016,REA-PAIR-09,real,chromatograms.h5,1340,baseline|peakaboo|peakaboo_recommendation,0.31166666746139526,0.011666666716337204,0.6116666793823242,REAL-016,unsupported,stable_unsupported,none,Defer,,,0.00029320000612642616,0.000191550007002661,3.7969028039969185e-06,50.44900184224327,15.96,34.48900184224327,0.9333333333333333,30,28,0.75,20,15,98.71586056224676,106.0,1.0737889473511717,True,Moderate,0.30687268554492875,180,Mostly consistent,Defer,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 187, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-017,REA-PAIR-05,real,chromatograms.h5,1316,baseline|peakaboo|peakaboo_recommendation,3.321666717529297,3.0216667652130127,3.621666669845581,REAL-017,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference,Reject,3.19833333333332,3.34,0.04277705028653145,0.0008847992867231369,0.00012945254203518101,6.8349316744026964,15.96,-9.125068325597304,1.0,30,30,0.35,20,7,7.604005163734854,31.0,4.076798914846311,False,Low,0.6175206529604194,180,Conflict detected,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 1993, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-018,REA-PAIR-06,real,chromatograms.h5,1322,baseline|peakaboo|peakaboo_recommendation,3.319999933242798,3.0199999809265137,3.619999885559082,REAL-018,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference,Reject,3.20666666666666,3.33833333333333,0.04290430061519146,0.000929100438952446,0.00013539639470731027,6.862076601809293,15.96,-9.097923398190709,1.0,30,30,0.35,20,7,8.155552754131435,31.0,3.8010912239266723,False,Low,0.6166086303966679,180,Conflict detected,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 1992, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-019,REA-PAIR-06,real,chromatograms.h5,1310,baseline|peakaboo|peakaboo_recommendation,3.318333387374878,3.0183334350585938,3.618333339691162,REAL-019,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference,Reject,3.2,3.33666666666666,0.04391160048544407,0.0011300500482320786,0.00014126721193277606,7.999379507613195,15.96,-7.960620492386806,1.0,30,30,0.4,20,8,8.257464579397833,29.0,3.511973889946107,False,Low,0.6135767405254524,180,Conflict detected,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 1991, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-020,REA-PAIR-07,real,chromatograms.h5,1286,baseline|peakaboo|peakaboo_recommendation,3.309999942779541,3.009999990463257,3.609999895095825,REAL-020,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference,Reject,3.195,3.32833333333332,0.04654734954237938,0.0013386495411396027,0.00016691717990378917,8.019842738125313,15.96,-7.940157261874688,1.0,30,30,0.45,20,9,8.17109545522797,29.0,3.5490957312762066,False,Low,0.6126000624072119,180,Conflict detected,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 1986, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-021,REA-PAIR-02,real,chromatograms.h5,1385,baseline|peakaboo|peakaboo_recommendation,3.881666660308838,3.5816667079925537,4.181666851043701,REAL-021,supported,baseline_drift,none,Accept,3.875,8.42333333333333,0.30622975528240204,0.00949464738368988,7.957423288304381e-06,1193.1809891857683,15.96,1177.2209891857683,1.0,30,30,1.0,20,20,259.44995385636236,inf,inf,False,Low,0.25196009084682175,180,Consistent,Accept,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 2329, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-022,REA-PAIR-02,real,chromatograms.h5,1286,baseline|peakaboo|peakaboo_recommendation,3.4216666221618652,3.121666669845581,3.7216665744781494,REAL-022,supported,overlap_or_duplicate,unfavorable_algorithm_vs_supported_reference,Reject,3.40333333333332,3.445,0.053244199603796005,0.010415099561214447,8.552427526478783e-05,121.77945275992434,15.96,105.81945275992433,1.0,30,30,1.0,20,20,81.98886250806603,38.0,0.4634775850959217,True,High,0.010587683946053921,180,Mostly consistent,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 2053, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-023,REA-PAIR-08,real,chromatograms.h5,1595,baseline|peakaboo|peakaboo_recommendation,0.44999998807907104,0.15000000596046448,0.75,REAL-023,unsupported,stable_unsupported,detectability_vs_stability,Reject,,,0.0006419999990612268,0.0007095000000845175,0.027432382935843585,0.025863593466086028,15.96,-15.934136406533915,0.8,30,24,0.25,20,5,3.648871268161514,23.0,6.303319111498435,False,Low,0.03896021595105735,180,Conflict detected,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 270, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-024,REA-PAIR-03,real,chromatograms.h5,1440,baseline|peakaboo|peakaboo_recommendation,0.4483333230018616,0.1483333259820938,0.7483333349227905,REAL-024,unsupported,parameter_sensitive,none,Reject,,,0.0006987999950069934,0.0007255999953486025,0.02748442057480982,0.026400410856295558,15.96,-15.933599589143705,0.6666666666666666,30,20,0.25,20,5,3.7220082792462392,23.0,6.179459655758164,False,Low,0.03953514605450589,180,Mostly consistent,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 269, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
SYN-001,SYN-PAIR-02,synthetic,generated_demo,synthetic_1,baseline|peakaboo|peakaboo_recommendation,10.02,8.0,12.0,SYN-001,supported,clear_supported,none,Accept,9.86,10.16,0.06873643795848612,0.019594799571323387,0.0006056598071741659,32.35281474330328,15.96,16.392814743303276,1.0,30,30,1.0,20,20,28.73283307756043,inf,inf,False,Low,0.0004949518467596727,198,Consistent,Accept,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 6, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""synthetic_category"": ""clear_supported"", ""synthetic_replicate"": 1, ""weber_boundary"": 15.96}",False,True
SYN-002,SYN-PAIR-02,synthetic,generated_demo,synthetic_2,baseline|peakaboo|peakaboo_recommendation,10.04,8.0,12.0,SYN-002,supported,clear_supported,none,Accept,9.89,10.19,0.06883654541663384,0.019336218919202244,0.0007839955617470781,24.66368413036571,15.96,8.703684130365708,1.0,30,30,1.0,20,20,27.985745806693615,inf,inf,False,Low,0.005499709721194754,196,Consistent,Accept,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 6, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""synthetic_category"": ""clear_supported"", ""synthetic_replicate"": 2, ""weber_boundary"": 15.96}",False,True
