session_id,case_id,case_slot,decision_baseline,decision_peakaboo,decision_peakaboo_recommendation,confidence_baseline,confidence_peakaboo,confidence_peakaboo_recommendation,changed_after_evidence,changed_after_ai_peak_mark,changed_from_baseline_to_ai,hidden_reference_status,hidden_case_category,hidden_disagreement_type
80bacd2f-b280-46ae-9ddb-3fc2a5fec135,SYN-013,3,1,1,1,89,91,69,0,0,0,supported,high_detectability_low_stability,unfavorable_algorithm_vs_supported_reference
97a247ad-d7eb-4d30-94cc-83253931b41d,REAL-001,2,1,1,1,82,65,51,0,0,0,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference
97a247ad-d7eb-4d30-94cc-83253931b41d,REAL-003,3,2,2,2,93,61,71,0,0,0,unsupported,stable_unsupported,detectability_vs_stability
97a247ad-d7eb-4d30-94cc-83253931b41d,SYN-006,1,1,1,1,56,82,68,0,0,0,supported,near_boundary_supported,detectability_vs_stability
a196a3dd-4f8c-4633-a102-6a695aa976df,REAL-001,2,1,1,1,76,57,83,0,0,0,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference
a196a3dd-4f8c-4633-a102-6a695aa976df,REAL-003,3,2,1,1,67,88,83,1,0,1,unsupported,stable_unsupported,detectability_vs_stability
a196a3dd-4f8c-4633-a102-6a695aa976df,SYN-006,1,1,1,1,59,88,75,0,0,0,supported,near_boundary_supported,detectability_vs_stability
c342fcda-a888-4af9-90ea-b9c69c0bb052,REAL-001,3,1,1,1,53,54,51,0,0,0,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference
c342fcda-a888-4af9-90ea-b9c69c0bb052,SYN-006,2,1,1,1,50,71,88,0,0,0,supported,near_boundary_supported,detectability_vs_stability
c342fcda-a888-4af9-90ea-b9c69c0bb052,SYN-008,1,2,3,2,45,55,79,1,1,0,unsupported,near_boundary_unsupported,detectability_vs_stability
c63f09f8-6992-4d72-93a1-95a81f0d8c2a,REAL-001,2,1,3,1,47,86,72,1,1,0,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference
c63f09f8-6992-4d72-93a1-95a81f0d8c2a,SYN-005,1,1,1,1,59,54,50,0,0,0,supported,near_boundary_supported,detectability_vs_stability
c63f09f8-6992-4d72-93a1-95a81f0d8c2a,SYN-013,3,1,2,1,83,72,58,1,1,0,supported,high_detectability_low_stability,unfavorable_algorithm_vs_supported_reference
c772eded-8c5b-49e1-a3bf-ca597ba0a17d,REAL-001,2,3,1,1,71,79,64,1,0,1,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference
c772eded-8c5b-49e1-a3bf-ca597ba0a17d,REAL-003,3,1,2,2,69,68,86,1,0,1,unsupported,stable_unsupported,detectability_vs_stability
c772eded-8c5b-49e1-a3bf-ca597ba0a17d,SYN-006,1,1,3,1,92,61,70,1,1,0,supported,near_boundary_supported,detectability_vs_stability
e3fa8340-b639-41be-b15b-71295642168d,REAL-001,3,2,1,1,58,60,52,1,0,1,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference
e3fa8340-b639-41be-b15b-71295642168d,SYN-006,1,1,2,1,69,59,73,1,1,0,supported,near_boundary_supported,detectability_vs_stability
e3fa8340-b639-41be-b15b-71295642168d,SYN-007,2,1,2,1,83,91,84,1,1,0,unsupported,near_boundary_unsupported,detectability_vs_stability
e9459b53-bfb9-4fc4-b403-b8a39c922921,REAL-001,1,1,1,1,81,70,89,0,0,0,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference
e9459b53-bfb9-4fc4-b403-b8a39c922921,REAL-003,2,2,2,1,62,93,74,0,1,1,unsupported,stable_unsupported,detectability_vs_stability
e9459b53-bfb9-4fc4-b403-b8a39c922921,SYN-013,3,1,3,1,92,61,90,1,1,0,supported,high_detectability_low_stability,unfavorable_algorithm_vs_supported_reference
ef6afff9-99ca-4808-be2e-709bacf5b1bf,REAL-001,2,1,1,1,90,88,83,0,0,0,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference
ef6afff9-99ca-4808-be2e-709bacf5b1bf,SYN-007,1,2,2,1,92,48,69,0,1,1,unsupported,near_boundary_unsupported,detectability_vs_stability
ef6afff9-99ca-4808-be2e-709bacf5b1bf,SYN-013,3,1,1,1,94,81,45,0,0,0,supported,high_detectability_low_stability,unfavorable_algorithm_vs_supported_reference
